name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,km_per_year,price_category
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,60000.0,Petrol,Individual,Manual,First Owner,8.0,Tata,7500.0,Mid-Range
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,13.0,Audi,3846.153846153846,Luxury
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,14.0,Mercedes-Benz,2414.285714285714,Luxury
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,60000.0,Diesel,Dealer,Manual,Second Owner,15.0,Skoda,4000.0,Mid-Range
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,10.0,Toyota,5000.0,Luxury
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,11.0,Toyota,7272.727272727273,Luxury
Jeep Compass 1.4 Sport Plus BSIV,2014.0,1400000.0,10000.0,Petrol,None,Manual,First Owner,12.0,Jeep,833.3333333333334,Luxury
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Manual,First Owner,16.0,Mercedes-Benz,7437.5,Luxury
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,13.0,BMW,5830.7692307692305,Luxury
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,17.0,Audi,4588.235294117647,Luxury
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesel,Individual,Manual,First Owner,14.0,Hyundai,2857.1428571428573,Luxury
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Diesel,Individual,Manual,First Owner,12.0,Mahindra,4166.666666666667,Luxury
Honda City i DTEC V,2014.0,560000.0,74000.0,Diesel,Individual,Manual,Second Owner,12.0,Honda,6166.666666666667,Mid-Range
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,12.0,Maruti,5333.333333333333,Mid-Range
Maruti Wagon R VXI BS IV,2014.0,275000.0,60000.0,Petrol,Individual,Manual,First Owner,12.0,Maruti,5000.0,Mid-Range
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesel,None,Manual,Second Owner,17.0,Mahindra,7058.823529411765,Mid-Range
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,17.0,Hyundai,4647.058823529412,Budget
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,7.0,Hyundai,2142.8571428571427,Mid-Range
Maruti Alto LXi,2014.0,100000.0,80000.0,Petrol,Individual,Manual,First Owner,12.0,Maruti,6666.666666666667,Budget
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,9.0,Maruti,2055.5555555555557,Luxury
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,None,Manual,First Owner,8.0,Maruti,1275.0,Mid-Range
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,8.0,Hyundai,3625.0,Luxury
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,8.0,Maruti,3500.0,Mid-Range
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,12.0,Hyundai,5833.333333333333,Mid-Range
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,14.0,Maruti,4285.714285714285,Budget
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,30.0,Mahindra,1166.6666666666667,Mid-Range
Honda City i DTEC VX,2014.0,675000.0,90000.0,Diesel,Dealer,Manual,First Owner,12.0,Honda,7500.0,Luxury
Tata Indica DLS,2005.0,70000.0,80000.0,Diesel,Individual,Manual,First Owner,21.0,Tata,3809.5238095238096,Budget
Hyundai EON Magna Plus,2014.0,240000.0,60000.0,None,Dealer,Manual,Second Owner,12.0,Hyundai,5000.0,Budget
Toyota Etios GD,2014.0,525000.0,92000.0,Diesel,Dealer,Manual,First Owner,12.0,Toyota,7666.666666666667,Mid-Range
Maruti Alto LXi,2009.0,151000.0,66764.0,None,Dealer,Manual,Second Owner,17.0,Maruti,3927.294117647059,Budget
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,17.0,Maruti,5882.35294117647,Budget
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Diesel,Individual,Manual,Second Owner,16.0,Chevrolet,21875.0,Mid-Range
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Diesel,Individual,Manual,First Owner,15.0,Toyota,15333.333333333334,Mid-Range
Mahindra Scorpio 1.99 S6 Plus,2014.0,570000.0,60000.0,Diesel,Individual,Manual,First Owner,12.0,Mahindra,5000.0,Mid-Range
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,None,Individual,Manual,First Owner,19.0,Tata,2052.6315789473683,Budget
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Diesel,None,Manual,Third Owner,17.0,Toyota,7058.823529411765,Mid-Range
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesel,Individual,Manual,Fourth & Above Owner,12.0,Tata,13833.333333333334,Budget
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,Maruti,5500.0,Budget
Ford EcoSport 1.5 Diesel Titanium BSIV,2014.0,925000.0,60000.0,Diesel,Individual,Manual,First Owner,12.0,Ford,5000.0,Luxury
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Diesel,Individual,Manual,First Owner,8.0,Maruti,7500.0,Luxury
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,None,Automatic,Second Owner,19.0,Honda,2842.1052631578946,Budget
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,12.0,Skoda,10000.0,Mid-Range
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,21.0,Hyundai,5714.285714285715,Budget
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Diesel,Individual,Manual,First Owner,11.0,Hyundai,7272.727272727273,Mid-Range
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Diesel,Individual,Manual,First Owner,7.0,Hyundai,3571.4285714285716,Luxury
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,10.0,Honda,1195.8,Mid-Range
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,11.0,Honda,1818.1818181818182,Mid-Range
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,9.0,Hyundai,1000.0,Luxury
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,Diesel,Dealer,Automatic,First Owner,9.0,Mercedes-Benz,722.2222222222222,Luxury
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Diesel,Individual,Manual,First Owner,11.0,Mahindra,6363.636363636364,Luxury
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Diesel,Individual,Manual,First Owner,13.0,Renault,9230.76923076923,Mid-Range
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,19.0,Hyundai,3052.6315789473683,Budget
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,13.0,Mahindra,4784.615384615385,Mid-Range
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,12.0,Audi,2833.3333333333335,Luxury
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,11.0,Fiat,4818.181818181818,Mid-Range
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Diesel,None,Automatic,First Owner,13.0,Audi,3769.230769230769,Luxury
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,9.0,Datsun,1666.6666666666667,Budget
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesel,Dealer,Manual,First Owner,13.0,Audi,4076.923076923077,Luxury
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,60000.0,Petrol,Dealer,Automatic,First Owner,8.0,Mercedes-Benz,7500.0,Luxury
BMW X1 sDrive 20d xLine,2017.0,2750000.0,60000.0,Diesel,Individual,Automatic,First Owner,9.0,BMW,6666.666666666667,Luxury
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,None,Dealer,Automatic,First Owner,8.0,Volvo,2625.0,Luxury
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,18.0,Maruti,1620.7222222222222,Budget
BMW 7 Series 730Ld,2012.0,2500000.0,60000.0,Diesel,Dealer,Automatic,First Owner,14.0,BMW,4285.714285714285,Luxury
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesel,None,Manual,First Owner,9.0,Mahindra,13333.333333333334,Luxury
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,None,Individual,Manual,First Owner,16.0,Hyundai,6250.0,Mid-Range
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,First Owner,9.0,Nissan,3333.3333333333335,Mid-Range
Mahindra Xylo D4,2018.0,750000.0,87000.0,Diesel,Individual,Manual,First Owner,8.0,Mahindra,10875.0,Luxury
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,None,Manual,First Owner,7.0,Hyundai,2142.8571428571427,Luxury
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,14.0,Mahindra,4285.714285714285,Mid-Range
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,None,Manual,Fourth & Above Owner,16.0,Maruti,3750.0,Budget
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,15.0,Maruti,7333.333333333333,Mid-Range
Renault KWID RXT,2014.0,350000.0,25000.0,None,Individual,Manual,First Owner,12.0,Renault,2083.3333333333335,Mid-Range
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Diesel,Individual,Manual,First Owner,10.0,Hyundai,6000.0,Luxury
Maruti Swift Dzire VDI,2014.0,434000.0,60000.0,Diesel,Individual,Manual,Second Owner,12.0,Maruti,5000.0,Mid-Range
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,10.0,Hyundai,8000.0,Luxury
Mahindra Scorpio LX BSIV,2014.0,555000.0,60000.0,Diesel,Individual,Manual,Second Owner,12.0,Mahindra,5000.0,Mid-Range
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,None,Manual,Second Owner,19.0,Maruti,4736.8421052631575,Budget
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,12.0,Maruti,10000.0,Mid-Range
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesel,Individual,Manual,First Owner,13.0,Chevrolet,4615.384615384615,Budget
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,None,Manual,First Owner,22.0,Maruti,2272.7272727272725,Budget
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,8.0,Maruti,2500.0,Mid-Range
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.0,Maruti,5789.473684210527,Budget
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,14.0,Tata,3571.4285714285716,Budget
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesel,Individual,Manual,First Owner,14.0,Toyota,7142.857142857143,Mid-Range
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,10.0,Hyundai,7000.0,Luxury
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,10.0,Honda,5000.0,Mid-Range
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,60000.0,None,Individual,Manual,Second Owner,16.0,Tata,3750.0,Budget
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,60000.0,Diesel,Individual,Manual,Third Owner,14.0,Chevrolet,4285.714285714285,Mid-Range
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,None,Dealer,Manual,First Owner,11.0,Chevrolet,327.27272727272725,Luxury
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,11.0,Ford,1297.4545454545455,Mid-Range
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,60000.0,Diesel,Dealer,Manual,First Owner,9.0,Ford,6666.666666666667,Luxury
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,11.0,Hyundai,3636.3636363636365,Budget
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,28.0,Maruti,1428.5714285714287,Budget
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,14.0,Chevrolet,5714.285714285715,Budget
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,First Owner,11.0,Hyundai,6363.636363636364,Budget
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Diesel,Individual,Manual,First Owner,15.0,Tata,4666.666666666667,Budget
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,23.0,Hyundai,2478.2608695652175,Budget
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesel,Individual,Manual,First Owner,10.0,Tata,12000.0,Mid-Range
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Manual,First Owner,21.0,Maruti,1428.5714285714287,Budget
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,13.0,Hyundai,249.23076923076923,Mid-Range
Hyundai i20 1.2 Asta,2014.0,700000.0,10000.0,Petrol,Individual,Manual,First Owner,12.0,Hyundai,833.3333333333334,Luxury
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Diesel,Individual,Manual,First Owner,11.0,Maruti,9090.90909090909,Mid-Range
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,24.0,Hyundai,2916.6666666666665,Budget
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Diesel,None,Manual,First Owner,8.0,Maruti,4375.0,Luxury
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,None,Manual,Second Owner,19.0,Hyundai,6000.0,Budget
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,18.0,Hyundai,2987.3333333333335,Budget
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,14.0,Mahindra,10000.0,Budget
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesel,Individual,Manual,First Owner,11.0,Chevrolet,10909.09090909091,Mid-Range
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,10.0,Renault,2500.0,Budget
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,12.0,Maruti,7500.0,Budget
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,6.0,Maruti,20000.0,Budget
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,15.0,Chevrolet,6666.666666666667,Budget
Honda City i VTEC SV,2014.0,620000.0,60000.0,Petrol,Individual,Manual,First Owner,12.0,Honda,5000.0,Luxury
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesel,Individual,Manual,First Owner,13.0,Honda,2307.6923076923076,Mid-Range
Jaguar XJ 5.0 L V8 Supercharged,2014.0,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,12.0,Jaguar,3333.3333333333335,Luxury
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,9.0,Maruti,6666.666666666667,Mid-Range
Tata Indigo CR4,2011.0,150000.0,155500.0,Diesel,Individual,Manual,First Owner,15.0,Tata,10366.666666666666,Budget
Hyundai i10 Asta AT,2014.0,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,12.0,Hyundai,4166.666666666667,Mid-Range
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,14.0,Maruti,5714.285714285715,Budget
Hyundai Santro Xing XG,2006.0,70000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,Hyundai,5500.0,Budget
Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,Petrol,Individual,Manual,First Owner,7.0,Maruti,2142.8571428571427,Luxury
Maruti 800 AC,2007.0,95000.0,100000.0,Petrol,Individual,Manual,Second Owner,19.0,Maruti,5263.1578947368425,Budget
Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,CNG,Individual,Manual,First Owner,6.0,Maruti,6666.666666666667,Mid-Range
Tata Nano LX SE,2013.0,72000.0,25000.0,Petrol,Individual,Manual,First Owner,13.0,Tata,1923.076923076923,Budget
Hyundai i20 Magna 1.2,2014.0,600000.0,25000.0,Petrol,Individual,Manual,First Owner,12.0,Hyundai,2083.3333333333335,Mid-Range
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,60000.0,Petrol,Individual,Manual,First Owner,11.0,Skoda,5454.545454545455,Luxury
Maruti Alto K10 VXI,2018.0,380000.0,22155.0,Petrol,Individual,Manual,First Owner,8.0,Maruti,2769.375,Mid-Range
Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,Petrol,Individual,Manual,First Owner,8.0,Maruti,8750.0,Luxury
Maruti Alto LX,2009.0,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,17.0,Maruti,3529.4117647058824,Budget
Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,Petrol,Individual,Manual,First Owner,8.0,Tata,3750.0,Mid-Range
Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,Diesel,Individual,Manual,First Owner,7.0,Mahindra,2142.8571428571427,Luxury
Maruti Zen D,2003.0,75000.0,100000.0,Diesel,Individual,Manual,First Owner,23.0,Maruti,4347.826086956522,Budget
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,Diesel,Individual,Automatic,First Owner,10.0,Volkswagen,7000.0,Luxury
Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,Petrol,Individual,Manual,First Owner,9.0,Maruti,2666.6666666666665,Mid-Range
Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,21.0,Honda,5714.285714285715,Budget
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,Diesel,None,Automatic,First Owner,13.0,Mercedes-Benz,2692.3076923076924,Luxury
Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,Petrol,Individual,Manual,First Owner,19.0,Maruti,4125.263157894737,Budget
Ford Figo Diesel Titanium,2010.0,170000.0,60000.0,Diesel,Individual,Manual,Third Owner,16.0,Ford,3750.0,Budget
Ford Figo Diesel Titanium,2011.0,190000.0,90000.0,Diesel,Individual,Manual,Third Owner,15.0,Ford,6000.0,Budget
Maruti Swift Dzire VDi,2009.0,250000.0,150000.0,Diesel,Individual,Manual,Third Owner,17.0,Maruti,8823.529411764706,Mid-Range
Mahindra Xylo E4,2009.0,229999.0,230000.0,Diesel,None,Manual,First Owner,17.0,Mahindra,13529.411764705883,Budget
Maruti Esteem Vxi - BSIII,2006.0,140000.0,70000.0,Petrol,Individual,Manual,Third Owner,20.0,Maruti,3500.0,Budget
Maruti Swift VDI BSIV,2017.0,600000.0,80362.0,Diesel,Individual,Manual,First Owner,9.0,Maruti,8929.111111111111,Mid-Range
Hyundai i20 1.2 Sportz,2012.0,280000.0,110000.0,Petrol,Individual,Manual,Third Owner,14.0,Hyundai,7857.142857142857,Mid-Range
Chevrolet Beat Diesel LT,2012.0,150000.0,60000.0,Diesel,Individual,Manual,First Owner,14.0,Chevrolet,4285.714285714285,Budget
Nissan Micra XL,2014.0,210000.0,40000.0,Petrol,Individual,Manual,Second Owner,12.0,Nissan,3333.3333333333335,Budget
BMW 5 Series 520d Luxury Line,2017.0,2900000.0,40000.0,Diesel,Individual,Automatic,First Owner,9.0,BMW,4444.444444444444,Luxury
Hyundai EON Era Plus Option,2014.0,265000.0,55000.0,Petrol,Dealer,Manual,First Owner,12.0,Hyundai,4583.333333333333,Mid-Range
Fiat Linea T Jet Emotion,2018.0,890000.0,1136.0,Petrol,Dealer,Manual,First Owner,8.0,Fiat,142.0,Luxury
Ford Figo Petrol Titanium,2014.0,350000.0,43000.0,Petrol,Dealer,Manual,First Owner,12.0,Ford,3583.3333333333335,Mid-Range
Maruti Ciaz ZDi SHVS,2016.0,685000.0,60000.0,Diesel,Individual,Manual,First Owner,10.0,Maruti,6000.0,Luxury
Skoda Rapid 1.5 TDI Ambition BSIV,2014.0,940000.0,2650.0,Diesel,Dealer,Manual,First Owner,12.0,Skoda,220.83333333333334,Luxury
Mahindra XUV500 W6 2WD,2017.0,1000000.0,40000.0,Diesel,Individual,Manual,First Owner,9.0,Mahindra,4444.444444444444,Luxury
Mahindra XUV300 W8 Option,2019.0,1150000.0,60000.0,Petrol,None,Manual,First Owner,7.0,Mahindra,8571.42857142857,Luxury
Nissan Terrano XE D,2015.0,590000.0,65000.0,Diesel,Dealer,Manual,First Owner,11.0,Nissan,5909.090909090909,Mid-Range
Maruti S-Cross Facelift,2017.0,800000.0,40000.0,None,Individual,Manual,First Owner,9.0,Maruti,4444.444444444444,Luxury
Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000.0,58000.0,None,Dealer,Manual,First Owner,14.0,Hyundai,4142.857142857143,Mid-Range
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000.0,15000.0,None,Individual,Automatic,First Owner,13.0,Mercedes-Benz,1153.8461538461538,Luxury
Hyundai EON Era Plus,2012.0,235000.0,54000.0,Petrol,Dealer,Manual,First Owner,14.0,Hyundai,3857.1428571428573,Budget
Volkswagen Ameo 1.5 TDI Highline,2017.0,640000.0,56000.0,Diesel,Dealer,Manual,First Owner,9.0,Volkswagen,6222.222222222223,Luxury
Maruti Alto LX,2006.0,52000.0,120000.0,Petrol,Individual,Manual,Third Owner,20.0,Maruti,6000.0,Budget
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009.0,80000.0,90000.0,LPG,Individual,Manual,Second Owner,17.0,Maruti,5294.117647058823,Budget
